candidate_id,base_refined_factor_id,factor_family,refinement_transform,is_original,readiness_status,holdout_mean_ic_1d,holdout_sign_consistency_1d,aligned_horizon_count,holdout_valid_rows,walk_forward_sign_consistency,base_precondition_pass,non_actionable_disclaimer
alpha_vol_adj_momentum_20d__review_queue_conditioned__readiness_cross_sectional_rank,alpha_vol_adj_momentum_20d__review_queue_conditioned,volatility_adjusted_momentum,cross_sectional_rank,false,not_ready,0.057302,0.6,3,260,1.0,false,research_only
alpha_vol_adj_momentum_20d__review_queue_conditioned__readiness_winsorized_zscore,alpha_vol_adj_momentum_20d__review_queue_conditioned,volatility_adjusted_momentum,winsorized_zscore,false,not_ready,0.059842,0.55,2,260,1.0,false,research_only
alpha_vol_adj_momentum_20d__risk_filtered,alpha_vol_adj_momentum_20d__risk_filtered,volatility_adjusted_momentum,identity,true,conditionally_useful,0.069899,0.65,3,910,0.5,false,research_only
alpha_vol_adj_momentum_20d__risk_filtered__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_20d__risk_filtered,volatility_adjusted_momentum,cross_sectional_zscore,false,conditionally_useful,0.069899,0.65,3,910,0.5,false,research_only
alpha_vol_adj_momentum_20d__risk_filtered__readiness_cross_sectional_rank,alpha_vol_adj_momentum_20d__risk_filtered,volatility_adjusted_momentum,cross_sectional_rank,false,conditionally_useful,0.070191,0.65,3,910,1.0,false,research_only
alpha_vol_adj_momentum_20d__risk_filtered__readiness_winsorized_zscore,alpha_vol_adj_momentum_20d__risk_filtered,volatility_adjusted_momentum,winsorized_zscore,false,conditionally_useful,0.069902,0.65,3,910,1.0,false,research_only
alpha_vol_adj_momentum_5d__downside_risk_filtered,alpha_vol_adj_momentum_5d__downside_risk_filtered,volatility_adjusted_momentum,identity,true,not_ready,0.009335,0.5652,0,1099,0.5,false,research_only
alpha_vol_adj_momentum_5d__downside_risk_filtered__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_5d__downside_risk_filtered,volatility_adjusted_momentum,cross_sectional_zscore,false,not_ready,0.009335,0.5652,0,1099,0.5,false,research_only
alpha_vol_adj_momentum_5d__downside_risk_filtered__readiness_cross_sectional_rank,alpha_vol_adj_momentum_5d__downside_risk_filtered,volatility_adjusted_momentum,cross_sectional_rank,false,conditionally_useful,0.014767,0.6087,2,1099,0.5,false,research_only
alpha_vol_adj_momentum_5d__downside_risk_filtered__readiness_winsorized_zscore,alpha_vol_adj_momentum_5d__downside_risk_filtered,volatility_adjusted_momentum,winsorized_zscore,false,conditionally_useful,0.020892,0.6087,2,1099,0.5,false,research_only
alpha_vol_adj_momentum_5d__horizon_specific,alpha_vol_adj_momentum_5d__horizon_specific,volatility_adjusted_momentum,identity,true,not_ready,-0.007611,0.4348,1,1150,0.5,false,research_only
alpha_vol_adj_momentum_5d__horizon_specific__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_5d__horizon_specific,volatility_adjusted_momentum,cross_sectional_zscore,false,not_ready,-0.007611,0.4348,1,1150,0.5,false,research_only
alpha_vol_adj_momentum_5d__horizon_specific__readiness_cross_sectional_rank,alpha_vol_adj_momentum_5d__horizon_specific,volatility_adjusted_momentum,cross_sectional_rank,false,not_ready,-0.004671,0.4348,1,1150,1.0,false,research_only
alpha_vol_adj_momentum_5d__horizon_specific__readiness_winsorized_zscore,alpha_vol_adj_momentum_5d__horizon_specific,volatility_adjusted_momentum,winsorized_zscore,false,not_ready,0.00298,0.5652,1,1150,0.5,false,research_only
alpha_vol_adj_momentum_5d__liquidity_filtered,alpha_vol_adj_momentum_5d__liquidity_filtered,volatility_adjusted_momentum,identity,true,not_ready,-0.021292,0.5217,1,897,0.5,false,research_only
alpha_vol_adj_momentum_5d__liquidity_filtered__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_5d__liquidity_filtered,volatility_adjusted_momentum,cross_sectional_zscore,false,not_ready,-0.021292,0.5217,1,897,0.5,false,research_only
alpha_vol_adj_momentum_5d__liquidity_filtered__readiness_cross_sectional_rank,alpha_vol_adj_momentum_5d__liquidity_filtered,volatility_adjusted_momentum,cross_sectional_rank,false,not_ready,-0.014158,0.5217,1,897,0.5,false,research_only
alpha_vol_adj_momentum_5d__liquidity_filtered__readiness_winsorized_zscore,alpha_vol_adj_momentum_5d__liquidity_filtered,volatility_adjusted_momentum,winsorized_zscore,false,not_ready,-0.011897,0.5217,1,897,0.5,false,research_only
